"EKATTE","Postcode","Name","Mun_code","Mun_name","Reg_code","Reg_name"
68093,4974,Сопотот,SML27,Рудозем,SML,Смолян
11260,4921,Високите,SML16,Мадан,SML,Смолян
12841,4907,Въргов дол,SML16,Мадан,SML,Смолян
68638,4931,Стайчин дол,SML16,Мадан,SML,Смолян
36556,4921,Касапско,SML16,Мадан,SML,Смолян
31111,4980,Златоград,SML11,Златоград,SML,Смолян
00196,4984,Аламовци,SML11,Златоград,SML,Смолян
27588,4997,Ерма река,SML11,Златоград,SML,Смолян
49575,4996,Мързян,SML11,Златоград,SML,Смолян
21871,4985,Долен,SML11,Златоград,SML,Смолян
69105,4987,Старцево,SML11,Златоград,SML,Смолян
69759,4988,Страшимир,SML11,Златоград,SML,Смолян
76011,4992,Фабрика,SML11,Златоград,SML,Смолян
40110,4919,Крушев дол,SML16,Мадан,SML,Смолян
51319,4990,Неделино,SML18,Неделино,SML,Смолян
12896,4989,Върли дол,SML18,Неделино,SML,Смолян
39092,4999,Кочани,SML18,Неделино,SML,Смолян
21004,4994,Диманово,SML18,Неделино,SML,Смолян
56246,4912,Печинска,SML16,Мадан,SML,Смолян
05476,4905,Бориново,SML16,Мадан,SML,Смолян
05623,4243,Борово,PDV15,Лъки,PDV,Пловдив
55035,4889,Павелско,SML38,Чепеларе,SML,Смолян
77219,4890,Хвойна,SML38,Чепеларе,SML,Смолян
86012,4241,Югово,PDV15,Лъки,PDV,Пловдив
51127,4239,Нареченски бани,PDV01,Асеновград,PDV,Пловдив
38799,4240,Косово,PDV01,Асеновград,PDV,Пловдив
02974,4251,Бачково,PDV01,Асеновград,PDV,Пловдив
44834,4238,Лясково,PDV01,Асеновград,PDV,Пловдив
87179,4258,Яврово,PDV42,Куклен,PDV,Пловдив
00702,4230,Асеновград,PDV01,Асеновград,PDV,Пловдив
63238,4102,Руен,PDV42,Куклен,PDV,Пловдив
40467,4101,Куклен,PDV42,Куклен,PDV,Пловдив
32408,4116,Извор,PDV26,Родопи,PDV,Пловдив
06447,4107,Брестник,PDV26,Родопи,PDV,Пловдив
47295,4108,Марково,PDV26,Родопи,PDV,Пловдив
03304,4124,Белащица,PDV26,Родопи,PDV,Пловдив
06077,4109,Браниполе,PDV26,Родопи,PDV,Пловдив
40004,4112,Крумово,PDV26,Родопи,PDV,Пловдив
36244,4117,Караджово,PDV28,Садово,PDV,Пловдив
36676,4120,Катуница,PDV28,Садово,PDV,Пловдив
87240,4113,Ягодово,PDV26,Родопи,PDV,Пловдив
56784,4000,Пловдив,PDV22,Пловдив,PDV,Пловдив
62858,4140,Рогош,PDV17,Марица,PDV,Пловдив
66915,4134,Скутаре,PDV17,Марица,PDV,Пловдив
11845,4135,Войводиново,PDV17,Марица,PDV,Пловдив
73122,4141,Трилистник,PDV17,Марица,PDV,Пловдив
78080,4204,Царацово,PDV17,Марица,PDV,Пловдив
57501,7839,Помощица,TGV24,Попово,TGV,Търговище
05743,7128,Босилковци,RSE04,Бяла,RSE,Русе
39671,7845,Крепча,TGV23,Опака,TGV,Търговище
70130,7124,Стърмен,RSE04,Бяла,RSE,Русе
65067,7841,Садина,TGV24,Попово,TGV,Търговище
05611,7174,Борово,RSE03,Борово,RSE,Русе
17172,7847,Горско Абланово,TGV23,Опака,TGV,Търговище
36364,7163,Каран Върбовка,RSE08,Две могили,RSE,Русе
07212,7168,Бъзовец,RSE08,Две могили,RSE,Русе
18407,7844,Гърчиново,TGV23,Опака,TGV,Търговище
44608,7843,Люблен,TGV23,Опака,TGV,Търговище
37784,5290,Козловец,VTR28,Свищов,VTR,Велико Търново
05877,7125,Ботров,RSE04,Бяла,RSE,Русе
77013,5287,Хаджидимитрово,VTR28,Свищов,VTR,Велико Търново
81373,7162,Чилнов,RSE08,Две могили,RSE,Русе
23431,5285,Драгомирово,VTR28,Свищов,VTR,Велико Търново
